HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
1,Costa Rica,CRI,2015CRI,1,"4847,8","79,6","6,85","2,52","61,7","1,61",18625
,Vanuatu,VUT,2015VUT,8,"271,1","69,9","6,63",,,"1,61",3038
2,Colombia,COL,2015COL,1,"47520,7","76,5","6,39","1,97","59,7","1,61",14144
7,Switzerland,CHE,2015CHE,3,"8296,8","83,1","7,57","4,69","56,3","1,61",65937
6,Ecuador,ECU,2015ECU,1,"16212,0","76,1","5,96","1,90","56,7","1,61",11896
3,Panama,PAN,2015PAN,1,"3968,5","77,8","6,61","2,35","59,6","1,61",28436
11,Jamaica,JAM,2015JAM,1,"2891,0","74,1","5,50","1,52","54,4","1,61",9471
4,Guatemala,GTM,2015GTM,1,"16252,4","73,3","6,46","1,84","58,3","1,61",8125
31,Honduras,HND,2015HND,1,"9112,9","74,5","4,85","1,59","49,5","1,61",5283
,Uruguay,URY,2015URY,1,"3412,0","77,4","6,63",,,"1,61",20588
15,New Zealand,NZL,2015NZL,2,"4614,5","81,7","7,42","4,93","53,2","1,61",41107
10,Philippines,PHL,2015PHL,8,"102113,2","70,6","5,55","1,14","54,4","1,61",7300
13,El Salvador,SLV,2015SLV,1,"6325,1","72,4","6,02","1,95","53,7","1,61",8143
32,United Kingdom,GBR,2015GBR,3,"65860,1","81,1","6,52","4,54","49,4","1,61",44894
24,Peru,PER,2015PER,1,"30470,7","75,8","5,58","2,37","50,9","1,61",12110
5,Nicaragua,NIC,2015NIC,1,"6223,2","73,6","5,92","1,50","57,2","1,61",5630
18,Tajikistan,TJK,2015TJK,7,"8454,0","70,1","5,12","0,88","52,7","1,61",2822
28,Netherlands,NLD,2015NLD,3,"16938,5","81,7","7,32","5,42","50,5","1,61",53143
30,Dominican Republic,DOM,2015DOM,1,"10281,7","73,2","5,06","1,63","49,7","1,61",15328
72,Armenia,ARM,2015ARM,7,"2925,6","74,5","4,35","1,94","43,9","1,61",11321
12,Brazil,BRA,2015BRA,1,"204471,8","75,0","6,55","2,78","54,2","1,61",15059
29,Bangladesh,BGD,2015BGD,6,"156256,3","71,5","4,63","0,86","50,3","1,61",3700
14,Mexico,MEX,2015MEX,1,"121858,3","74,9","6,24","2,53","53,6","1,61",19332
20,Uzbekistan,UZB,2015UZB,7,"30929,6","70,9","5,97","1,98","51,9","1,61",6087
54,Kyrgyzstan,KGZ,2015KGZ,7,"5959,1","70,9","4,91","1,74","46,3","1,61",4805
57,Serbia,SRB,2015SRB,7,"8876,8","75,3","5,32","2,86","46,2","1,61",15628
35,Nepal,NPL,2015NPL,6,"27015,0","69,5","4,81","0,96","49,3","1,61",2912
9,Thailand,THA,2015THA,8,"68714,5","76,1","6,20","2,44","54,9","1,61",16302
25,Germany,DEU,2015DEU,3,"81787,4","80,8","7,04","4,86","50,7","1,61",51247
17,Spain,ESP,2015ESP,3,"46671,9","83,0","6,38","3,93","52,8","1,61",37496
39,France,FRA,2015FRA,3,"64453,2","82,2","6,36","4,66","48,7","1,61",43484
64,Mauritius,MUS,2015MUS,5,"1259,5","74,5","5,63","3,44","44,7","1,61",19897
