HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
1,Costa Rica,CRI,2018CRI,1,"4999,4","80,1","7,14","2,60","63,3","1,57",20074
4,Vanuatu,VUT,2018VUT,8,"292,7","70,3","6,87","1,62","59,6","1,57",3128
8,Colombia,COL,2018COL,1,"49661,1","77,1","5,98","1,89","57,5","1,57",14357
6,Switzerland,CHE,2018CHE,3,"8525,6","83,6","7,51","4,29","58,1","1,57",68246
2,Ecuador,ECU,2018ECU,1,"17084,4","76,8","6,13","1,63","60,2","1,57",11562
5,Panama,PAN,2018PAN,1,"4176,9","78,3","6,28","2,18","58,7","1,57",31049
10,Jamaica,JAM,2018JAM,1,"2934,9","74,4","6,10","1,83","56,5","1,57",9738
3,Guatemala,GTM,2018GTM,1,"17247,9","74,1","6,63","1,79","60,2","1,57",8448
7,Honduras,HND,2018HND,1,"9587,5","75,1","5,91","1,56","57,6","1,57",5672
11,Uruguay,URY,2018URY,1,"3449,3","77,8","6,37","2,60","56,1","1,57",21591
9,New Zealand,NZL,2018NZL,2,"4743,1","82,1","7,37","4,07","57,3","1,57",42643
16,Philippines,PHL,2018PHL,8,"106651,4","71,1","5,87","1,41","54,9","1,57",8516
14,El Salvador,SLV,2018SLV,1,"6420,7","73,1","6,24","2,02","55,1","1,57",8616
12,United Kingdom,GBR,2018GBR,3,"67141,7","81,2","7,23","4,07","55,7","1,57",46290
20,Peru,PER,2018PER,1,"31989,3","76,5","5,68","2,12","53,3","1,57",12782
17,Nicaragua,NIC,2018NIC,1,"6465,5","74,3","5,82","1,87","54,2","1,57",5695
13,Tajikistan,TJK,2018TJK,7,"9100,8","70,9","5,50","0,96","55,4","1,57",3235
18,Netherlands,NLD,2018NLD,3,"17059,6","82,1","7,46","4,81","54,0","1,57",56240
26,Dominican Republic,DOM,2018DOM,1,"10627,1","73,9","5,43","1,83","51,4","1,57",17712
36,Armenia,ARM,2018ARM,7,"2951,7","74,9","5,06","1,70","50,4","1,57",12715
24,Brazil,BRA,2018BRA,1,"209469,3","75,7","6,19","2,74","52,4","1,57",14596
40,Bangladesh,BGD,2018BGD,6,"161376,7","72,3","4,50","0,84","49,7","1,57",4441
15,Mexico,MEX,2018MEX,1,"126190,8","75,0","6,55","2,60","55,0","1,57",19994
19,Uzbekistan,UZB,2018UZB,7,"32476,2","71,6","6,21","1,96","54,0","1,57",6755
