HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
1,Costa Rica,CRI,2017CRI,1,"4950,0","79,9","7,23","2,57","64,2","1,6",19749
4,Vanuatu,VUT,2017VUT,8,"285,5","70,2","6,79","1,64","59,1","1,6",3117
5,Colombia,COL,2017COL,1,"48909,8","76,9","6,16","1,91","58,7","1,6",14220
10,Switzerland,CHE,2017CHE,3,"8455,8","83,5","7,47","4,47","57,0","1,6",66911
9,Ecuador,ECU,2017ECU,1,"16785,4","76,6","5,84","1,71","57,5","1,6",11618
2,Panama,PAN,2017PAN,1,"4106,8","78,1","6,57","2,27","60,1","1,6",30455
14,Jamaica,JAM,2017JAM,1,"2920,8","74,3","5,89","1,81","55,3","1,6",9598
7,Guatemala,GTM,2017GTM,1,"16915,0","73,8","6,33","1,78","58,1","1,6",8317
6,Honduras,HND,2017HND,1,"9429,0","74,9","6,02","1,54","58,6","1,6",5562
11,Uruguay,URY,2017URY,1,"3436,6","77,6","6,34","2,58","56,0","1,6",21325
13,New Zealand,NZL,2017NZL,2,"4702,0","82,0","7,33","4,32","55,8","1,6",42101
19,Philippines,PHL,2017PHL,8,"105172,9","71,0","5,59","1,34","53,6","1,6",8121
12,El Salvador,SLV,2017SLV,1,"6388,1","72,9","6,34","1,99","56,0","1,6",8454
17,United Kingdom,GBR,2017GBR,3,"66727,5","81,2","7,10","4,20","54,5","1,6",45955
20,Peru,PER,2017PER,1,"31444,3","76,3","5,71","2,15","53,5","1,6",12507
3,Nicaragua,NIC,2017NIC,1,"6384,8","74,1","6,48","1,74","59,7","1,6",6004
8,Tajikistan,TJK,2017TJK,7,"8880,3","70,6","5,83","0,97","57,7","1,6",3090
22,Netherlands,NLD,2017NLD,3,"17021,3","82,0","7,46","5,02","53,1","1,6",55265
21,Dominican Republic,DOM,2017DOM,1,"10513,1","73,7","5,61","1,75","53,1","1,6",16735
73,Armenia,ARM,2017ARM,7,"2944,8","74,8","4,29","1,80","44,4","1,6",12115
23,Brazil,BRA,2017BRA,1,"207833,8","75,5","6,33","2,81","53,0","1,6",14520
44,Bangladesh,BGD,2017BGD,6,"159685,4","72,1","4,31","0,83","48,4","1,6",4161
18,Mexico,MEX,2017MEX,1,"124777,3","74,9","6,41","2,62","54,1","1,6",19786
15,Uzbekistan,UZB,2017UZB,7,"31959,8","71,4","6,42","2,00","55,2","1,6",6519
26,Kyrgyzstan,KGZ,2017KGZ,7,"6189,7","71,2","5,63","1,55","52,6","1,6",5047
62,Serbia,SRB,2017SRB,7,"8829,6","75,7","5,12","2,75","45,7","1,6",16664
43,Nepal,NPL,2017NPL,6,"27632,7","70,2","4,74","1,09","48,4","1,6",3099
25,Thailand,THA,2017THA,8,"69209,8","76,7","5,94","2,58","52,7","1,6",17421
28,Germany,DEU,2017DEU,3,"82658,4","81,0","7,07","4,70","51,7","1,6",53122
29,Spain,ESP,2017ESP,3,"46647,4","83,3","6,23","4,03","51,6","1,6",39655
32,France,FRA,2017FRA,3,"64842,5","82,4","6,64","4,60","50,6","1,6",44755
35,Mauritius,MUS,2017MUS,5,"1264,5","74,7","6,17","3,06","50,0","1,6",21415
30,Finland,FIN,2017FIN,3,"5511,4","81,6","7,79","5,84","51,0","1,6",47644
65,Senegal,SEN,2017SEN,5,"15419,4","67,4","4,68","1,16","45,4","1,6",3204
31,Ireland,IRL,2017IRL,3,"4753,3","81,9","7,06","5,01","50,9","1,6",78052
48,Albania,ALB,2017ALB,7,"2884,2","78,3","4,64","2,05","47,9","1,6",12812
40,Moldova,MDA,2017MDA,7,"4059,7","71,7","5,33","1,87","48,9","1,6",11651
34,Norway,NOR,2017NOR,3,"5296,3","82,1","7,58","5,78","50,5","1,6",64255
24,Morocco,MAR,2017MAR,4,"35581,3","76,2","5,31","1,77","53,0","1,6",7314
38,Italy,ITA,2017ITA,3,"60673,7","83,2","6,20","4,41","49,5","1,6",41714
47,Sweden,SWE,2017SWE,3,"9904,9","82,5","7,29","6,08","48,1","1,6",52114
27,"Palestine, State of",PSE,2017PSE,4,"4747,2","73,7","4,63","0,81","52,3","1,6",6402
39,Argentina,ARG,2017ARG,1,"43937,1","76,4","6,04","3,30","49,2","1,6",23597
46,Indonesia,IDN,2017IDN,8,"264651,0","71,3","5,10","1,66","48,3","1,6",10936
37,Cyprus,CYP,2017CYP,3,"1179,7","80,7","6,06","3,88","49,5","1,6",37767
66,Venezuela,VEN,2017VEN,1,"29402,5","72,2","5,07","2,28","45,3","1,6",..
80,Greece,GRC,2017GRC,3,"10569,4","81,9","5,15","4,12","43,6","1,6",29234
45,Vietnam,VNM,2017VNM,8,"94600,6","75,2","5,18","2,24","48,4","1,6",7156
33,Israel,ISR,2017ISR,4,"8243,8","82,7","7,33","5,55","50,6","1,6",39023
49,Azerbaijan,AZE,2017AZE,7,"9845,3","72,7","5,15","1,97","47,9","1,6",14121
67,Cambodia,KHM,2017KHM,8,"16009,4","69,3","4,59","1,33","45,2","1,6",3928
57,Iceland,ISL,2017ISL,3,"334,4","82,7","7,48","6,82","46,4","1,6",55274
60,Slovenia,SVN,2017SVN,7,"2076,4","81,0","6,17","4,90","45,8","1,6",36622
83,Bosnia and Herzegovina,BIH,2017BIH,7,"3351,5","77,1","5,09","3,49","42,9","1,6",13798
55,Paraguay,PRY,2017PRY,1,"6867,1","74,0","5,71","3,09","46,5","1,6",12594
72,Congo (Brazzaville),COG,2017COG,5,"5110,7","64,0","4,88","1,07","44,6","1,6",4274
53,Japan,JPN,2017JPN,8,"127502,7","84,3","5,91","4,65","47,4","1,6",41094
61,Czech Republic,CZE,2017CZE,7,"10641,0","79,1","6,79","5,47","45,7","1,6",38949
52,Austria,AUT,2017AUT,3,"8819,9","81,3","7,29","6,02","47,5","1,6",54343
50,Sri Lanka,LKA,2017LKA,6,"21128,0","76,6","4,33","1,49","47,7","1,6",12584
56,Slovakia,SVK,2017SVK,7,"5447,9","77,2","6,37","4,41","46,4","1,6",30189
36,Algeria,DZA,2017DZA,4,"41389,2","76,5","5,25","2,30","49,5","1,6",11737
63,Portugal,PRT,2017PRT,3,"10288,5","81,7","5,71","4,40","45,6","1,6",33150
42,Romania,ROU,2017ROU,7,"19654,0","75,8","6,09","3,40","48,5","1,6",27231
74,Croatia,HRV,2017HRV,7,"4182,8","78,2","5,34","3,72","44,2","1,6",26886
97,Liberia,LBR,2017LBR,5,"4702,2","63,3","4,42","1,11","40,7","1,6",1516
41,Chile,CHL,2017CHL,1,"18470,4","79,9","6,32","4,28","48,6","1,6",24548
71,Singapore,SGP,2017SGP,8,"5708,0","83,3","6,38","5,87","44,6","1,6",94941
51,Hungary,HUN,2017HUN,7,"9729,8","76,5","6,07","3,67","47,6","1,6",29559
64,Denmark,DNK,2017DNK,3,"5732,3","80,7","7,59","6,93","45,4","1,6",55533
87,Iraq,IRQ,2017IRQ,4,"37552,8","70,3","4,46","1,80","42,4","1,6",10972
77,Kenya,KEN,2017KEN,5,"50221,1","65,9","4,48","0,99","43,7","1,6",4046
16,Pakistan,PAK,2017PAK,6,"207906,2","66,9","5,83","0,86","55,1","1,6",4571
69,Poland,POL,2017POL,7,"37953,2","78,3","6,20","4,71","45,0","1,6",30160
76,Bolivia,BOL,2017BOL,1,"11192,9","70,9","5,65","3,08","44,0","1,6",8424
119,Uganda,UGA,2017UGA,5,"41166,6","62,5","4,00","1,04","37,7","1,6",2075
