"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.02498","78.86792","74.22901","79.27661","74.78535","73.43448","75.6987","","81.79688","77.85939","80.97252","","80.68243","","","","","","","","","","",
"Africa Eastern and Southern","AFE","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","2.35844","","","","","","","","","","","","","","","","","","","7.79188","","","","","","","","","","","","","","14.40342","","","","","","32.81661","33.15745","32.92914","33.81677","35.12171","36.69527","","","",
"Africa Western and Central","AFW","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","4.26607","","","","","","","","","","4.87576","","","","","","","","","","","","","","","","","","","","","","","","","","8.564","9.04349","10.07569","","","","","","","","","","","",
"Albania","ALB","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.85455","67.42693","","","","","","","","","","","","85.03466","86.5061","87.83338","87.37654","88.46079","89.1819","","","",
"Andorra","AND","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","16.37003","16.47109","16.63759","17.58438","18.04978","19.13518","20.39103","21.97249","23.49892","24.79357","25.94134","26.65381","28.12939","29.37792","30.74762","32.22337","33.97015","35.2121","35.97369","36.85577","39.30151","39.69981","39.15298","40.01995","41.94779","42.2805","42.63363","44.15798","45.5894","47.21783","48.55836","49.90597","50.77715","52.62142","54.25793","54.5644","54.68707","54.62016","55.70579","57.77316","58.4782","60.43056","60.93871","59.21884","59.29569","59.82032","60.31467","60.83393","61.33394","","","",
"United Arab Emirates","ARE","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","36.83714","","","","","","","","","","","","","","71.67573","75.44499","","74.91946","73.95922","","","","","","","","","","","","","","","","","","85.87854","90.32952","","","","",
"Argentina","ARG","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","42.5199","44.09006","","","","","","","","","","","","","","","","","","","","","","","76.5898","78.473","80.36122","80.92482","80.78871","80.82155","81.42915","81.26323","81.61114","81.83627","83.17861","84.88917","85.80616","87.46214","89.35661","90.11215","90.33155","90.89313","92.18343","93.0542","","","","",
"Armenia","ARM","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.98581","85.27768","91.67152","92.31576","88.05112","","","","","","","","","","",
"American Samoa","ASM","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.32639","","","","","","","","","93.3748","","","","","84.86631","87.63587","","86.64413","89.72818","","","",
"Australia","AUS","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.33589","88.38325","88.29162","89.69534","","","","","","","","","","","","","","","","","","","93.62816","93.15336","92.69355","","","","",
"Austria","AUT","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.02071","88.10903","","87.81913","87.8824","87.84762","88.69619","89.17722","87.86998","87.88928","87.64705","86.85324","86.67158","86.23705","86.42403","86.70508","86.99795","87.53142","87.11869","","","","",
"Azerbaijan","AZE","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.15416","","","",
